Castiello; Lugar
Gangas Casti; Trabajo
Ruedas; Persona
Alexandre; Individuo
Tayico; Sujeto
Examen de conducir (Ginés); Evento
Zuera; Lugar
Esmegma planetario; Objeto
Praha Drinking Team; Organización
Médeton; Persona
Poto; Objeto
Reuben; Animal
Madre Inma; Persona
Papito Luis; Sujeto
Inma; Individuo
Caramelos; Objeto
Chigofe; Monstruo
Rana; Charca
Siqi; Individuo
Pingas; Objeto
Calasanz; Lugar
Miguel Ángel (profesor); P. Diddy
Mapi; Individuo
Mari Ángeles; Sujeto
Madre Inma; Sujeto
Rosa Elena; Individuo
Dioni; Sujeto
Momoa; Lugar
Chupitería Boss; Lugar
Ginés; Sujeto
Dani; Individuo
Tessa; Persona
Isa; Persona
Enrique; Individuo
Deivis; Sujeto
Johnny; Persona
Yiye; Persona
Pablo; Sujeto
Iris; Persona
José Antonio; Individuo
Becario; Escoria
Eduardo Chiriboga; Individuo
La Madre de Dani; Monstruo
Melones; Gustar
Ampeter; Soy
GTA V; Objeto
TGV; Objeto
Principale; Lugar
Ahmed (kebab de Gines); Persona
Feli; Sujeto
Boda; Evento
Alpino felice; Objeto
Día D; Evento
Impostor; Sujeto
SIS; Organización
Chelo; Persona
Ginés padre (el mejor); Sujeto
El Diablo (coche); Objeto
Silva; Persona
Danimán; Individuo
Alejandrawoman; Sujeto
Pablomán; Individuo
Batman; Persona
Joker; Sujeto
Caballo; Animal
Porro; Objeto
Pilar; Monstruo
Salou; Lugar
Valencia; Lugar
Comedor; Lugar
Torquay; Lugar
COVID-19; Evento
Cambrils; Lugar
Olivas; Objeto
Tortilla; Objeto
Charca Burger; Objeto
Bad Bunny; Persona
Ana Padilla; Sujeto
Aberroncho de las nieves; Sujeto
Chonita; Persona
Aguilera; Lugar
Mariví; Individuo
Nuria; Individuo
El Manual; Objeto
Amanece; Evento
Cartabón; Objeto
Ventana; Lugar
Escupitajo; Objeto
Capó; Lugar
Sabrosón Acuático; Persona
Paco (juego); Sujeto
Arthur Morgan (Red Dead); Persona
Yayorevólver; Objeto
Bocadillo; Objeto
Chicle; Objeto
Diarrea; Otro
Jabalí; Animal
Cerdo; Animal
Fernando Soler; Individuo
Empatía; Otro
Fortnite; Objeto
DNI; Objeto
Marianeitor; Persona
Mano (de Ginés); Objeto
Pedrerol (Chiringuito); Sujeto
Kebab; Objeto
Godmariz; Persona
Vodka Mango; Objeto
Ojo; Objeto
María Pilar Barrios; Individuo
Ozuna; Persona
Mapache; Animal
Lobo (MCLobos 3 lobos tengo); Animal
Polytopia; Lugar
Amigos del cielo; Organización
SimSimi; Persona
TGB; Lugar
USJ; Lugar
Monstruos University; Organización
No rolea; Otro
